clubNumber	clubName
1801	Bridge Federation Of The ACT
1851	Canberra Bridge Club Inc
1855	Capital Bridge Club
1858	Cootamundra Bridge Club
1863	Monaro Bridge Club
1893	South Canberra Bridge Club
2001	New South Wales Bridge Association Inc
2002	NSWBA State MP Secretary
2004	Berry Bridge Club
2005	Commercial Club Bridge Club Albury
2006	Sydney Bridge Centre
2009	Bega Valley Bridge Club
2010	Armidale Bridge Club Inc
2011	Holiday Bridge
2012	Mona Vale Bridge Club
2013	Bowral Bridge Club Inc
2015	Bathurst & District Bridge Club Inc
2016	Ballina Bridge Club
2017	Bungendore Bridge Club
4628	Ingham Bridge Club Inc
2272	West Wyalong Services & Citizens Club Bridge Club
3322	Bridge@Blake
2018	Ballina Seniors Bridge Club Inc
2019	Batemans Bay Bridge Club
2020	Blue Mountains Bridge Club Inc
2022	Brisbane Water Bridge Club Inc
2021	Brunswick Valley Bridge Club
2023	Byron Bay Bridge Club Inc
2024	Camden Haven LUSC Bridge Club
2025	Central Coast Bridge Club
2026	Charlestown Bridge Club
2027	Canobolas Bridge Club Inc
2028	Coffs Harbour Bridge Club Inc
2029	Cessnock Bridge Club
2030	Coonabarabran Bridge Club
2031	Concord Bridge Club
2032	Castle Hill Bridge Club
2034	Carnarvon Bridge Club
2036	Central Coast Leagues Limited Bridge Club
4506	Beenleigh/Logan Bridge Club
2003	Avalon Bridge Club
2037	Condobolin Bridge Club
2038	Cowra & District Bridge Club
2040	Cromer Bridge Club
2041	Cheltenham Bridge Club
2060	Inverell Delvyn Bridge Club
2061	Double Bay Bridge Centre
2063	Dora Creek Bridge Club
2065	Easts Bridge Club
2066	Forbes Bridge Club
2035	Community Bridge Club Bateau Bay
2067	Finesse Bridge Club
2068	Forest Bridge Club
2069	Forestville RSL Bridge Club
2070	Glen Bridge Club
2073	Good Sports Bridge Club
2074	NSBC@Lindfield
2075	Glenbrook Bridge Club
2077	Carlingford Bridge Club
2078	Grafton Bridge Club
2080	Goulburn Bridge Club
2233	RGC Bridge Group
2081	Great Lakes Bridge Club
2085	Griffith Ex-Servicemens Club Bridge Club
2086	Kiama & District Bridge Club Inc
2087	Gunnedah Bridge Club
2091	Harbourview Bridge Club
2092	Hawks Nest Bridge Club
2093	Hawkesbury Bridge Club
2094	Harbord Diggers Bridge Club
2097	Hunter Bridge Club
2098	Hunters Hill Bridge Club Inc
2099	Hurstville Bridge Club
2100	Ingleburn Rsl Bridge Club
2106	Killara Bridge Club
2105	Illawarra Bridge Association Incorporated
2108	Ku-ring-gai Bridge Club
2112	Kings And Queens Bridge
2114	Lennox Head Bridge Club
2116	Leeton Soldiers Bridge Club
2120	North Shore Bridge Club Inc
2275	Warialda Bridge Club
6765	Bayswater Bridge Club Inc
2123	Lismore Bridge Club
2125	Long Reef Bridge Club
2126	Macarthur Collegians Bridge Club
2130	Dubbo Bridge Club
2133	Maitland Bridge Club
2136	Balgowlah-Dee Why RSL Bridge Club
2138	Manly Golf Club Bridge Group
2140	Manly Warringah Leagues Bridge Club
2142	Newcastle Wests City Bridge Club
2144	Milton Bridge Club
2145	Narrabeen Bridge Club
2146	Mollymook Bridge Club Inc
2149	Moree Bridge Club
2151	Mosman Park Bridge Club
2152	Orange Bridge Club Inc
2153	Mudgee Bridge Club
2155	Muswellbrook Bridge Club
2158	Murwillumbah Bridge Club
2160	Newcastle Bridge Club
2163	Nelson Bay Bridge Club
2279	Watermark Bridge Club
2168	Narromine & Trangie Bridge Club
2170	Nambucca Valley Bridge Club Inc
2175	New England Bridge Group
2178	Bridgefolk
2190	North Sydney Leagues Bridge Club
2193	Overtricks Bridge Club
2195	Oxley Bridge Club
2197	Nyngan Bridge Club
2200	Parramatta Bridge Club
2202	Palm Beach Bridge Club
2205	Parkes Bridge Club Inc
2210	Peninsula Bridge Club - NSW
2213	Pennant Hills Bridge Club
2216	Penrith Bridge Club
2220	Port Hacking Bridge Club
2222	Port Stephens Bridge Club
2223	Quick Tricks Bridge Centre
2224	Quirindi District Card Club
2225	Port Macquarie Bridge Club
3474	Bridge at Tivoli
2226	Port Macquarie Panthers Bridge Club
2227	Port Macquarie Hastings Bridge Association
2228	Bridge Away
2230	Randwick Bridge Club
2232	Reef Bridge Club
2234	The Sapphire Coast Bridge Club  Inc
2235	Nowra Bridge Club
2236	Scone Bridge Club
2237	St George Budapest Bridge Club
2238	The St George Bridge Club
2239	Southside Bridge Club
2240	Springwood Contract Bridge Club
2241	Moruya Bridge Club
2242	Social Bridge - Ryde
2243	Lake Macquarie Bridge Club Inc
2244	Bridge @ The Bay
2246	Revesby Workers Bridge Club
2248	St Mary's Bridge Club Inc
2249	Sydney Chinese Bridge Club
2250	Strathfield Bridge Club Inc
2095	Helane K Tours
2251	Southern Highlands Bridge Club
2252	Tenterfield Bridge Club
2253	Royal Sydney Golf Bridge Club
2255	Tamworth Bridge Club
2256	Taree Bridge Club Inc
2257	Toronto Bridge Club Inc
2258	Tilligerry Bridge Club
2259	Trumps Bridge Centre
2260	Tweed Bridge Club
2261	Tumbarumba Bridge Club
2262	Tumut Bridge Club
2263	Twin Towns Bridge Club
2264	ARV Bridge Club Inc
2266	Turramurra Bridge Club
2267	Wagga Wagga Bridge Club Inc
2268	Wellington Bridge Club
2269	CEX Urunga Bridge Club
2270	Western Suburbs Bridge Club - NSW
2273	Upper Mountains Bridge Club
2277	Windsor Bridge Club
2280	Wollstonecraft Bridge Club
2285	Thornleigh Bridge Club
2295	Yamba Bridge Club
3302	VBA State MP Secretary
3309	Ballarat Bridge Club
2290	Illawarra Master Builders Bridge Club
