ABFNumber	mps	postingmonth	postingyear	MPColour	EventDescription	EventCode
620254	0.2500	7	2012	G	Wagga Wagga	2267
620254	1.7500	10	2019	R	Peninsula-NSW	2210
620254	2.0200	3	2015	R	Peninsula-NSW	2210
620254	0.5000	2	2016	R	Peninsula-NSW	2210
620254	0.5600	3	2018	R	Peninsula-NSW	2210
620254	2.0600	4	2017	R	Peninsula-NSW	2210
620254	0.2600	6	2011	R	North Shore	2120
620254	0.2000	4	2013	G	North Shore	2120
620254	0.9000	9	2013	G	North Shore	2120
620254	0.1500	8	2014	G	North Shore	2120
620254	0.8700	5	2015	R	North Shore	2120
620254	0.0900	7	2015	G	North Shore	2120
620254	1.2700	2	2019	G	North Shore	2120
620254	0.5900	6	2019	G	North Shore	2120
620254	0.3800	11	2019	G	North Shore	2120
620254	0.0900	8	2015	G	North Shore	2120
620254	0.2000	1	2016	G	North Shore	2120
620254	0.7000	12	2016	R	North Shore	2120
620254	0.6700	3	2017	G	North Shore	2120
620254	0.3500	1	2018	G	North Shore	2120
620254	0.3500	2	2018	R	North Shore	2120
620254	0.5700	7	2019	G	North Shore	2120
620254	0.4100	10	2019	G	North Shore	2120
620254	0.1100	11	2012	G	North Shore	2120
620254	1.2000	5	2013	G	North Shore	2120
620254	2.0800	11	2013	G	North Shore	2120
620254	0.1900	3	2015	G	North Shore	2120
620254	0.5200	12	2017	G	North Shore	2120
620254	0.1300	1	2018	R	North Shore	2120
620254	0.2300	4	2018	G	North Shore	2120
620254	0.5600	8	2018	R	North Shore	2120
620254	0.5600	12	2018	R	North Shore	2120
620254	0.0800	3	2019	G	North Shore	2120
620254	0.5600	11	2016	R	North Shore	2120
620254	0.0700	12	2016	G	North Shore	2120
620254	0.1500	4	2017	R	North Shore	2120
620254	0.3800	9	2017	G	North Shore	2120
620254	0.5000	12	2017	R	North Shore	2120
620254	0.8400	12	2017	R	North Shore	2120
620254	0.9800	12	2015	R	North Shore	2120
620254	0.4100	12	2015	G	North Shore	2120
620254	1.1100	4	2016	G	North Shore	2120
620254	0.7700	5	2016	R	North Shore	2120
