ABFNumber	mps	postingmonth	postingyear	MPColour	EventDescription	EventCode
7293	0.7400	2	2012	G	South Perth	6788
4049	0.1000	6	2011	G	The St George	2238
4049	0.4000	12	2011	G	The St George	2238
4472	0.0800	3	2011	G	North Shore	2120
4472	0.2700	6	2011	G	North Shore	2120
4472	0.1400	6	2011	G	North Shore	2120
4472	1.4200	3	2011	G	North Shore	2120
4472	1.3200	6	2011	R	North Shore	2120
4472	0.2100	6	2011	G	North Shore	2120
5568	0.5900	9	2011	G	Queensland	4555
5861	0.3200	3	2011	G	North Shore	2120
5861	0.1900	3	2011	G	North Shore	2120
5861	0.0700	6	2011	G	North Shore	2120
6221	0.3700	3	2011	G	North Shore	2120
6221	0.1600	3	2011	G	North Shore	2120
6221	0.4500	6	2011	R	North Shore	2120
6221	0.3600	12	2011	G	Trumps	2259
6221	0.1300	3	2011	G	Trumps	2259
6221	0.5600	6	2011	G	North Shore	2120
6221	0.4800	6	2011	G	North Shore	2120
6221	0.1700	12	2011	R	NSWBA	2001
6221	0.1800	9	2011	G	Trumps	2259
6191	0.2400	2	2012	G	Orange	2152
4340	0.3000	9	2011	R	Kiama	2086
4359	0.0800	3	2011	G	Pennant Hills	2213
4359	0.2100	9	2011	G	Pennant Hills	2213
4340	1.7200	9	2011	G	Kiama	2086
4359	0.2100	3	2011	R	Pennant Hills	2213
4359	0.2500	9	2011	G	Pennant Hills	2213
4499	0.3100	3	2011	G	Tweed	2260
4499	0.1700	12	2011	G	Tweed	2260
4499	0.0800	9	2011	G	Tweed	2260
4499	0.3200	3	2011	R	Tweed	2260
4499	0.6500	3	2011	G	Tweed	2260
4499	0.0400	12	2011	G	Tweed	2260
4499	0.0900	12	2011	G	Tweed	2260
4499	0.3000	9	2011	G	Tweed	2260
4847	0.2700	3	2011	G	Trumps	2259
4847	0.6900	6	2011	G	North Shore	2120
4855	0.2600	3	2011	G	North Shore	2120
4855	1.3300	6	2011	R	North Shore	2120
4855	1.6600	12	2011	G	Trumps	2259
5002	0.3800	9	2011	G	Pennant Hills	2213
5002	0.4100	9	2011	G	Pennant Hills	2213
5010	0.0800	9	2011	G	Pennant Hills	2213
5010	0.4500	9	2011	G	Pennant Hills	2213
6939	1.9700	2	2012	G	South Perth	6788
4421	0.1200	9	2011	G	N.Suburbs	4545
5932	1.2700	3	2011	G	Muswellbrook	2155
4121	0.5700	12	2011	G	Tweed	2260
4121	0.1700	9	2011	G	Tweed	2260
4121	0.4800	3	2011	G	Tweed	2260
4121	0.5800	3	2011	G	Tweed	2260
4121	0.4000	12	2011	G	Tweed	2260
4121	0.2600	12	2011	R	Tweed	2260
4121	0.0800	12	2011	G	Tweed	2260
4121	0.4800	9	2011	R	Tweed	2260
4121	0.3600	9	2011	G	Tweed	2260
4847	0.3100	3	2011	R	Trumps	2259
4847	0.9000	3	2011	G	North Shore	2120
4847	0.5800	3	2011	G	Trumps	2259
4847	0.8600	6	2011	R	North Shore	2120
4847	0.1600	6	2011	G	North Shore	2120
4847	1.6600	12	2011	G	Trumps	2259
4847	0.4100	12	2011	G	Trumps	2259
4847	3.0700	9	2011	G	Trumps	2259
4855	0.5800	3	2011	G	Trumps	2259
4855	0.3100	3	2011	R	Trumps	2259
4855	0.1500	3	2011	G	Trumps	2259
4855	0.0900	6	2011	G	North Shore	2120
4855	0.4600	6	2011	G	North Shore	2120
4855	0.4100	12	2011	G	Trumps	2259
4855	2.9000	9	2011	G	Trumps	2259
5002	1.1800	3	2011	R	Pennant Hills	2213
5002	0.1500	6	2011	G	North Shore	2120
5002	0.2000	9	2011	R	Pennant Hills	2213
5002	0.2400	9	2011	G	Pennant Hills	2213
5010	0.1600	3	2011	G	Pennant Hills	2213
5010	0.1100	9	2011	G	Pennant Hills	2213
5320	0.3500	3	2011	R	Trumps	2259
5320	0.7000	6	2011	G	North Shore	2120
5320	0.0900	6	2011	G	North Shore	2120
5320	0.1800	9	2011	G	Trumps	2259
5355	3.0700	3	2011	R	North Shore	2120
5355	5.5200	6	2011	R	North Shore	2120
5320	0.2500	3	2011	G	Trumps	2259
5320	0.2700	6	2011	G	North Shore	2120
5355	2.0300	6	2011	R	North Shore	2120
5835	1.0400	3	2011	G	North Shore	2120
5835	0.4200	3	2011	R	North Shore	2120
5835	1.8000	3	2011	G	North Shore	2120
5835	1.1600	6	2011	G	North Shore	2120
5835	1.0400	6	2011	G	North Shore	2120
5835	1.4400	6	2011	G	North Shore	2120
5835	1.5500	6	2011	R	North Shore	2120
5835	1.4800	6	2011	R	North Shore	2120
5991	1.2000	3	2011	R	Tweed	2260
5991	1.7600	3	2011	G	Tweed	2260
5991	1.3500	3	2011	R	Tweed	2260
5991	3.2200	3	2011	G	Tweed	2260
5991	0.6400	12	2011	G	Tweed	2260
5991	0.4700	9	2011	G	Tweed	2260
5991	2.2700	9	2011	R	Tweed	2260
5991	1.0300	9	2011	G	Tweed	2260
5991	0.6400	12	2011	G	Tweed	2260
5991	1.2400	12	2011	R	Tweed	2260
5991	0.3700	9	2011	G	Tweed	2260
6009	0.4000	3	2011	R	Brisbane Water	2022
6335	0.1300	9	2011	R	Kiama	2086
6351	0.1400	6	2011	R	North Shore	2120
6671	3.0100	3	2011	R	Pennant Hills	2213
6671	1.9700	3	2011	G	Pennant Hills	2213
6671	0.8500	3	2011	G	Pennant Hills	2213
6671	2.8700	9	2011	R	Pennant Hills	2213
6009	0.7500	3	2012	R	C.Coast Leagues	2036
6009	0.4600	3	2012	R	C.Coast Leagues	2036
6661	0.0900	4	2012	G	Community	6759
4359	1.0100	6	2011	G	Social-Ryde	2242
4359	1.6000	3	2011	G	Social-Ryde	2242
4359	0.6600	6	2011	R	Social-Ryde	2242
4359	0.3300	12	2011	R	Social-Ryde	2242
4359	0.9300	12	2011	G	Social-Ryde	2242
4529	0.3000	9	2011	G	Sydney	2006
5177	0.1300	12	2011	R	Maitland	2133
5177	0.9000	12	2011	G	Maitland	2133
5185	0.1500	3	2011	G	Dendy	3326
5193	0.1500	3	2011	G	Dendy	3326
5177	1.0500	12	2011	G	Maitland	2133
5843	0.7500	3	2011	G	Macarthur	2126
5843	0.1200	3	2011	G	Macarthur	2126
5843	0.4100	3	2011	R	Macarthur	2126
5843	0.3200	6	2011	G	Macarthur	2126
5843	0.2700	6	2011	G	Macarthur	2126
5843	0.4400	6	2011	G	Macarthur	2126
6009	3.2600	3	2011	G	C.Coast Leagues	2036
6009	2.1400	12	2011	R	C.Coast Leagues	2036
6009	0.4000	12	2011	R	C.Coast Leagues	2036
5991	0.3000	9	2011	R	Twin Towns	2263
5991	0.0800	9	2011	G	Twin Towns	2263
6009	1.7200	3	2011	R	C.Coast Leagues	2036
6009	1.3000	3	2011	G	C.Coast Leagues	2036
6009	0.9700	12	2011	G	C.Coast Leagues	2036
6009	1.1500	12	2011	G	C.Coast Leagues	2036
6009	1.6300	12	2011	G	C.Coast Leagues	2036
6191	1.0100	6	2011	R	Gunnedah	2087
6191	1.7000	6	2011	G	Gunnedah	2087
6191	0.1500	6	2011	R	Gunnedah	2087
6191	2.2300	6	2011	G	Gunnedah	2087
6327	0.2600	3	2011	R	C.Coast Leagues	2036
6327	0.7800	3	2011	G	C.Coast Leagues	2036
6327	0.5200	12	2011	G	C.Coast Leagues	2036
6327	0.4100	12	2011	G	C.Coast Leagues	2036
6335	0.7600	3	2011	G	Berry	2004
6661	0.2500	6	2011	G	West Coast	6794
6327	0.2700	3	2011	G	C.Coast Leagues	2036
6327	0.1500	12	2011	R	C.Coast Leagues	2036
6327	0.8300	12	2011	G	C.Coast Leagues	2036
6661	0.3700	6	2011	G	West Coast	6794
6661	0.1200	6	2011	G	West Coast	6794
8001	0.3000	12	2011	G	Noosa	4657
8001	0.0800	12	2011	R	Noosa	4657
8001	0.1800	12	2011	G	Noosa	4657
8168	0.2100	9	2011	G	Reef	2232
8168	0.1600	9	2011	G	Reef	2232
8001	0.1700	12	2011	G	Noosa	4657
9342	0.2000	12	2011	G	Noosa	4657
9342	0.6300	12	2011	G	Noosa	4657
9342	0.7500	12	2011	R	Noosa	4657
9342	0.6000	12	2011	G	Noosa	4657
9008	1.2500	6	2011	G	Sydney	2006
9008	1.1400	9	2011	G	Sydney	2006
9008	2.8200	9	2011	G	Sydney	2006
9008	0.8600	9	2011	G	Sydney	2006
4898	1.5800	3	2012	R	C.Coast Leagues	2036
8575	0.9700	3	2012	R	Tricks	3473
4121	0.1700	9	2011	G	Twin Towns	2263
4197	0.9400	3	2011	G	Mollymook	2146
4197	0.2700	6	2011	G	Mollymook	2146
4197	0.6100	6	2011	G	Mollymook	2146
4197	0.4900	3	2011	R	Mollymook	2146
4197	0.3200	3	2011	G	Mollymook	2146
4197	0.6600	6	2011	R	Mollymook	2146
4898	0.4200	3	2011	G	C.Coast Leagues	2036
4898	0.8800	12	2011	G	C.Coast Leagues	2036
4898	0.5000	3	2011	G	C.Coast Leagues	2036
4898	0.1700	12	2011	G	C.Coast Leagues	2036
4898	0.2600	12	2011	G	C.Coast Leagues	2036
5649	0.9100	9	2011	R	Warwick	4696
5649	0.1700	9	2011	G	Sydney	2006
6981	3.3000	3	2011	G	Port Hacking	2220
6981	0.2400	6	2011	R	Port Hacking	2220
6981	2.3000	6	2011	G	Port Hacking	2220
7625	5.4700	9	2011	G	Newcastle	2160
8397	0.3000	3	2011	G	Sunshine Coast	4680
9148	0.7700	9	2011	G	Ku-ring-gai	2108
9393	2.0900	3	2011	G	Hawks Nest	2092
