ABFNumber	mps	postingmonth	postingyear	MPColour	EventDescription	EventCode
1000330	0.1700	3	2016	G	Port Macquarie	2225
1001175	0.0900	4	2016	G	Wagga Wagga	2267
1001175	2.0700	4	2016	G	Wagga Wagga	2267
1001175	0.0600	4	2016	G	Wagga Wagga	2267
1000659	0.1700	4	2016	G	Bayside	3311
1006320	0.2100	5	2016	G	Cairns	4590
1000322	0.3000	5	2016	G	Woolgoolga	2292
1005677	0.0800	5	2016	G	Waverley	3480
1000659	0.2800	5	2016	R	Bayside	3311
1000802	0.1000	5	2016	G	Bunbury	6757
1006312	0.1700	6	2016	G	Cairns	4590
1000004	0.2800	5	2016	R	SABA	5701
1002678	0.0800	5	2016	G	SABA	5701
1005669	0.1000	6	2016	G	Waverley	3480
1005677	0.1200	6	2016	G	Waverley	3480
1005685	0.1000	6	2016	G	Waverley	3480
1004832	0.1800	5	2016	G	Traralgon	3477
1000659	0.1300	6	2016	G	Bayside	3311
1004484	0.0900	6	2016	G	Bayside	3311
1007335	0.0900	6	2016	G	Albany	6754
1012339	0.2400	9	2016	G	Canning	6756
1012347	0.1200	9	2016	G	Canning	6756
1000330	0.1400	7	2016	R	Port Macquarie	2225
1000802	0.2900	7	2016	G	Bunbury	6757
1008498	0.0600	7	2016	G	SABA	5701
1008528	0.0900	7	2016	G	SABA	5701
1008668	0.4100	7	2016	G	SABA	5701
1008676	0.5200	7	2016	G	SABA	5701
1008684	0.5200	7	2016	G	SABA	5701
1009184	0.0800	7	2016	G	SABA	5701
1009192	0.0800	7	2016	G	SABA	5701
1010190	0.1900	7	2016	G	SABA	5701
1012355	0.1700	8	2016	G	Canning	6756
1012339	0.0800	8	2016	G	Canning	6756
1012355	0.1200	8	2016	G	Canning	6756
1012347	0.0800	8	2016	G	Canning	6756
1012339	0.1200	8	2016	G	Canning	6756
1012347	0.2400	8	2016	G	Canning	6756
1010697	0.1000	8	2016	G	Finesse	2067
1000829	0.4400	8	2016	G	Hunters Hill	2098
1000632	0.3700	8	2016	G	K&Q Sydney	2113
1000640	0.0900	8	2016	G	K&Q Sydney	2113
1012339	0.2400	9	2016	G	Canning	6756
1012347	0.1200	9	2016	G	Canning	6756
1012355	0.0400	9	2016	G	Canning	6756
1008846	0.0900	8	2016	G	Woolgoolga	2292
1010832	0.0900	8	2016	G	Woolgoolga	2292
1012363	0.1900	8	2016	G	Armidale	2010
1000659	0.2800	8	2016	G	Bayside	3311
1004484	0.1700	8	2016	G	Bayside	3311
1012851	0.6400	9	2016	R	Pt Macq. Hastings	2227
1001817	0.6000	9	2016	G	Turramurra	2266
1000667	0.1300	9	2016	G	Urunga	2269
1000004	0.4200	10	2016	G	SABA	5701
1000004	0.2400	10	2016	R	SABA	5701
1008528	0.0600	10	2016	G	SABA	5701
1008651	0.1200	10	2016	G	SABA	5701
1008668	0.6800	10	2016	G	SABA	5701
1008676	0.4400	10	2016	G	SABA	5701
1008684	0.5900	10	2016	G	SABA	5701
1009184	0.0400	10	2016	G	SABA	5701
1009192	0.0400	10	2016	G	SABA	5701
1010190	0.4000	10	2016	G	SABA	5701
1010190	0.8300	10	2016	R	SABA	5701
1013351	0.0600	10	2016	G	SABA	5701
1013361	0.0600	10	2016	G	SABA	5701
1012347	0.1100	9	2016	G	Canning	6756
1014536	0.0800	9	2016	G	Bendigo	3315
1000721	0.0400	3	2016	G	Turramurra	2266
1001728	0.3200	4	2016	G	Armidale	2010
1001426	0.1900	5	2016	G	Geelong	3360
