ABFNumber	mps	postingmonth	postingyear	MPColour	EventDescription	EventCode
310	0.5900	12	2011	G	Trumps	2259
833	1.0200	3	2011	R	Trumps	2259
833	0.7000	3	2011	G	North Shore	2120
833	0.1200	3	2011	G	Trumps	2259
833	0.8600	6	2011	G	North Shore	2120
833	0.1700	6	2011	G	North Shore	2120
833	0.2600	6	2011	R	North Shore	2120
833	0.5100	12	2011	R	Trumps	2259
833	0.2700	12	2011	G	Trumps	2259
833	1.0900	9	2011	G	Trumps	2259
833	1.3400	9	2011	G	Trumps	2259
1007	1.3200	3	2011	G	Pennant Hills	2213
1007	0.2400	3	2011	R	Pennant Hills	2213
1007	1.2000	9	2011	G	Pennant Hills	2213
1007	1.1600	9	2011	G	Pennant Hills	2213
1163	0.4300	3	2011	G	Goulburn	2080
310	0.4500	9	2011	G	Trumps	2259
833	0.1500	3	2011	G	Trumps	2259
833	2.2200	3	2011	R	North Shore	2120
833	1.5900	3	2011	R	Trumps	2259
833	0.2100	3	2011	G	North Shore	2120
833	0.5400	6	2011	R	North Shore	2120
833	0.6300	6	2011	G	North Shore	2120
833	0.1100	12	2011	G	Trumps	2259
833	0.6900	12	2011	R	Trumps	2259
833	1.1500	9	2011	R	Trumps	2259
1007	1.8800	3	2011	G	Pennant Hills	2213
1007	1.9000	9	2011	G	Pennant Hills	2213
1007	0.3800	9	2011	R	Pennant Hills	2213
2321	1.4700	3	2011	G	Monaro	1863
1481	0.6700	3	2011	G	Muswellbrook	2155
1503	0.5100	3	2011	G	Trumps	2259
1503	0.1700	3	2011	G	Trumps	2259
1503	0.1000	12	2011	G	Trumps	2259
1503	0.6200	12	2011	G	Trumps	2259
1503	1.3800	9	2011	G	Trumps	2259
1661	0.1700	12	2011	G	NSWBA	2001
1988	1.1200	3	2011	R	North Shore	2120
1988	0.8200	6	2011	R	North Shore	2120
1988	1.4000	6	2011	R	North Shore	2120
2011	2.4600	3	2011	G	North Shore	2120
2011	4.2400	3	2011	R	North Shore	2120
2011	1.0400	3	2011	G	North Shore	2120
2011	5.6100	6	2011	R	North Shore	2120
2011	0.8400	6	2011	G	North Shore	2120
2011	2.9000	6	2011	R	North Shore	2120
2011	1.1300	6	2011	G	North Shore	2120
2011	0.4500	6	2011	G	North Shore	2120
2151	0.3900	3	2011	R	Orange	2152
2151	0.9500	3	2011	G	Orange	2152
2151	0.8600	3	2011	G	Orange	2152
2321	0.2800	9	2011	R	Monaro	1863
2321	1.5900	9	2011	G	Monaro	1863
2836	0.5100	6	2011	G	North Shore	2120
3654	0.3600	9	2011	G	OZ Bridge	3463
302	0.5900	3	2011	G	North Shore	2120
302	0.1700	6	2011	G	North Shore	2120
302	0.1900	6	2011	G	North Shore	2120
302	0.2700	3	2011	G	North Shore	2120
302	0.7200	6	2011	G	North Shore	2120
1376	0.2000	3	2011	R	North Shore	2120
