fbc_staff, orgs, org, edit, Allow, 2
fbc_pay, payments, manage, all, Allow, 2
forum_admin, forums, admin, edit, Allow,
public_mods, forums, moderate, edit, Allow, 1
public_mods, forums, moderate, edit, Allow, 2
public_mods, forums, moderate, edit, Allow, 3
public_mods, forums, moderate, edit, Allow, 4
public_mods, forums, moderate, edit, Allow, 5
block_all, forums, forum, all, Block, 6
allow_specific, forums, forum, all, Allow, 6
secret_mods, forums, moderate, edit, Allow, 6
global_mods, forums, moderate, edit, Allow,
abfp, payments, global, all, Allow,
fbc_congress, events, org, all, Allow, 2
rbc_congress, events, org, all, Allow, 3
